Rank,City,State,Population [9],Region (2016) [10],Population (2010)
1,New York,New York,"33,131",Northeast,"1,585,873 [Manhattan only]"
2,Philadelphia,Pennsylvania,"28,522",Northeast,"1,526,006"
3,Boston,Massachusetts,"18,320",Northeast,"617,594"
4,Charleston,South Carolina,"16,359",South,"120,083"
5,Baltimore,Maryland,"13,503",South,"620,961"
6,Northern Liberties,Pennsylvania,"9,913",Northeast,N/A
7,Salem,Massachusetts,"7,921",Northeast,"41,340"
8,Newport,Rhode Island,"6,716",Northeast,"24,672"
9,Providence,Rhode Island,"6,380",Northeast,"178,042"
10,Marblehead,Massachusetts,"5,661",Northeast,"19,808"
11,Southwark,Pennsylvania,"5,661",Northeast,N/A
12,Gloucester,Massachusetts,"5,317",Northeast,"28,789"
13,Newburyport,Massachusetts,"4,837",Northeast,"17,416"
14,Portsmouth,New Hampshire,"4,720",Northeast,"21,233"
15,Sherburne,Massachusetts,"4,555",Northeast,"10,172"
16,Middleborough,Massachusetts,"4,526",Northeast,"23,116"
17,New Haven,Connecticut,"4,487",Northeast,"129,779"
18,Taunton,Massachusetts,"3,804",Northeast,"55,874"
19,Richmond,Virginia,"3,761",South,"204,214"
20,Albany,New York,"3,498",Northeast,"97,856"
21,New Bedford,Massachusetts,"3,313",Northeast,"95,072"
22,Beverly,Massachusetts,"3,290",Northeast,"39,502"
23,Plymouth,Massachusetts,"2,995",Northeast,"56,468"
24,Norfolk,Virginia,"2,959",South,"242,803"
25,Rochester,New Hampshire,"2,857",Northeast,"29,752"
26,Petersburg,Virginia,"2,828",South,"32,420"
27,Alexandria,Virginia,"2,748",South,"139,966"
28,Hartford,Connecticut,"2,683",Northeast,"124,775"
29,Londonderry,New Hampshire,"2,622",Northeast,"24,129"
30,Gilmanton,New Hampshire,"2,613",Northeast,"3,777"
31,Hudson,New York,"2,584",Northeast,"6,713"
